2021-09-26 09:01:14.207 [main] INFO  com.alibaba.nacos.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:/Users/wangyuelong/nacos/config
2021-09-26 09:01:14.224 [main] INFO  com.alibaba.nacos.client.config.impl.Limiter - limitTime:5.0
2021-09-26 09:01:14.311 [main] WARN  com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[cms] & group[dev]
2021-09-26 09:01:14.349 [main] WARN  com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[cms.yml] & group[dev]
2021-09-26 09:01:14.386 [main] INFO  com.alibaba.nacos.client.config.utils.JVMUtil - isMultiInstance:false
2021-09-26 09:01:14.391 [main] INFO  org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-cms-dev.yml,dev'}, BootstrapPropertySource {name='bootstrapProperties-cms.yml,dev'}, BootstrapPropertySource {name='bootstrapProperties-cms,dev'}]
2021-09-26 09:01:14.394 [main] INFO  com.codezero.cms.CmsApplication - The following profiles are active: dev
2021-09-26 09:01:14.799 [main] INFO  org.springframework.cloud.context.scope.GenericScope - BeanFactory id=5a6e5663-3f3e-32a8-92d6-42853380ce53
2021-09-26 09:01:14.840 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-26 09:01:14.970 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8002 (http)
2021-09-26 09:01:14.976 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8002"]
2021-09-26 09:01:14.977 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-26 09:01:14.977 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2021-09-26 09:01:15.087 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-26 09:01:15.087 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 685 ms
2021-09-26 09:01:15.286 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-09-26 09:01:15.286 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-09-26 09:01:15.287 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-09-26 09:01:15.287 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-09-26 09:01:15.390 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-09-26 09:01:15.497 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'Nacso-Watch-Task-Scheduler'
2021-09-26 09:01:15.501 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2021-09-26 09:01:15.502 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Environment :null
2021-09-26 09:01:15.502 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2021-09-26 09:01:15.642 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8002"]
2021-09-26 09:01:15.657 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8002 (http) with context path ''
2021-09-26 09:01:15.659 [main] INFO  com.alibaba.nacos.client.naming - [BEAT] adding beat: {"cluster":"DEFAULT","ip":"10.32.17.52","metadata":{"preserved.register.source":"SPRING_CLOUD"},"period":5000,"port":8002,"scheduled":false,"serviceName":"dev@@CMS","stopped":false,"weight":1.0} to beat map.
2021-09-26 09:01:15.719 [main] INFO  com.alibaba.nacos.client.naming - [REGISTER-SERVICE] 2e8b2822-4ed2-4783-a312-3b2be270e9f2 registering service dev@@CMS with instance: {"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"ip":"10.32.17.52","ipDeleteTimeout":30000,"metadata":{"preserved.register.source":"SPRING_CLOUD"},"port":8002,"weight":1.0}
2021-09-26 09:01:15.767 [main] INFO  com.alibaba.cloud.nacos.registry.NacosServiceRegistry - nacos registry, dev CMS 10.32.17.52:8002 register finished
2021-09-26 09:01:15.772 [main] INFO  com.codezero.cms.CmsApplication - Started CmsApplication in 2.368 seconds (JVM running for 3.272)
2021-09-26 09:01:15.775 [main] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-59.110.218.235_8848-2e8b2822-4ed2-4783-a312-3b2be270e9f2] [subscribe] cms+dev+2e8b2822-4ed2-4783-a312-3b2be270e9f2
2021-09-26 09:01:15.776 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - [fixed-59.110.218.235_8848-2e8b2822-4ed2-4783-a312-3b2be270e9f2] [add-listener] ok, tenant=2e8b2822-4ed2-4783-a312-3b2be270e9f2, dataId=cms, group=dev, cnt=1
2021-09-26 09:01:15.777 [main] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-59.110.218.235_8848-2e8b2822-4ed2-4783-a312-3b2be270e9f2] [subscribe] cms-dev.yml+dev+2e8b2822-4ed2-4783-a312-3b2be270e9f2
2021-09-26 09:01:15.777 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - [fixed-59.110.218.235_8848-2e8b2822-4ed2-4783-a312-3b2be270e9f2] [add-listener] ok, tenant=2e8b2822-4ed2-4783-a312-3b2be270e9f2, dataId=cms-dev.yml, group=dev, cnt=1
2021-09-26 09:01:15.778 [main] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-59.110.218.235_8848-2e8b2822-4ed2-4783-a312-3b2be270e9f2] [subscribe] cms.yml+dev+2e8b2822-4ed2-4783-a312-3b2be270e9f2
2021-09-26 09:01:15.778 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - [fixed-59.110.218.235_8848-2e8b2822-4ed2-4783-a312-3b2be270e9f2] [add-listener] ok, tenant=2e8b2822-4ed2-4783-a312-3b2be270e9f2, dataId=cms.yml, group=dev, cnt=1
2021-09-26 09:01:15.817 [com.alibaba.nacos.client.Worker.longPolling.fixed-59.110.218.235_8848-2e8b2822-4ed2-4783-a312-3b2be270e9f2] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - get changedGroupKeys:[]
2021-09-26 09:01:45.519 [com.alibaba.nacos.client.Worker.longPolling.fixed-59.110.218.235_8848-2e8b2822-4ed2-4783-a312-3b2be270e9f2] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - get changedGroupKeys:[]
